gene	count_2	count_3	count_4	count_5	count_6	count_7	count_8	count_9	count_10	count_11	count_12	count_13	count_14	count_15	count_16	count_18	count_19	count_20	count_21	count_22	count_23	count_24	count_25	count_26	count_27	count_28	count_29	count_30	count_31	count_32	count_34	count_35	count_36	count_37	count_38	count_39	count_40	count_41	count_42	count_43	count_44	count_45	count_46	count_47	count_48	count_50	count_51	count_52	count_53	count_54	count_55	count_56	count_57	count_58	count_59	count_60	count_61	count_62	count_63	count_64
Rv3601c	172.8126893	47.84476975	31.32136939	51.66800748	61.51660302	61.09010582	101.9022977	83.51156253	110.2358845	81.33887003	76.95289535	0	24.93620195	0	110.330086	134.6433731	57.35629735	33.19754455	50.42107241	89.09878752	49.19206961	95.19136439	83.96326303	119.6407229	65.14283306	48.19467606	145.4469197	27.4380011	135.2548279	126.2624506	224.9993641	218.5596934	218.5839145	186.9768874	134.6554317	144.399052	100.7056969	110.0899917	100.0057402	127.7994699	96.86502671	96.0031434	48.60235609	54.71858417	57.00030665	231.3113642	226.6922352	187.4403823	179.2564194	143.0256539	151.763133	117.5445986	89.76269782	94.63286489	71.96150298	54.24097003	62.36594431	51.19871442	36.85760775	67.00816473
Rv3602c	233.2268816	78.24613387	64.64197513	69.98999595	82.64351719	109.3191367	98.99080346	126.2384085	174.2438174	127.8182243	61.56231628	100.3906966	66.49653853	80.42682073	147.1067813	206.8581146	73.69415175	43.63702397	85.55317447	88.27379874	62.6080886	100.1150556	142.3724895	78.38530118	57.90474049	106.0282873	10.3890657	54.87600221	10.40421753	70.1458059	319.5850841	323.5956626	292.0574992	261.3170956	221.8182838	187.7187676	184.4504342	163.3914808	142.081326	160.0271623	123.3658359	148.0422305	95.22094255	96.12724245	112.6103619	340.6389705	307.2758304	268.9551532	236.5767861	197.7119334	199.9596967	173.4673319	155.1454036	137.4612888	108.1388706	108.4819401	93.54891646	78.30391618	57.59001211	97.26991654
Rv3603c	436.9491576	145.7770328	128.2843321	124.5895216	192.6277468	250.147907	317.3528699	683.6295351	760.9832026	412.5042695	307.8115814	237.2871012	199.4896156	80.42682073	128.7184336	314.5053227	119.2315757	100.0102128	99.21565861	289.5710594	218.0103085	365.9943838	595.0439945	350.6710842	427.0474611	510.8635662	228.5594453	197.553608	156.0632629	231.4811595	586.1448403	484.3325245	473.5372534	356.3824528	338.5941562	311.3604559	278.7957713	251.5631031	256.7220525	250.0424411	191.9024114	219.8202816	200.3607333	164.1557525	182.122931	611.534468	526.6422842	451.382595	329.3315612	320.0868244	269.0040762	213.3612563	212.4937939	203.3708994	169.8763349	185.7342307	150.0312811	158.1136769	155.1090993	135.0971063
Rv3604c	247.5576899	434.3408004	466.4884803	640.9031566	445.529337	454.638998	478.4555501	456.4003999	474.7255026	470.6034623	569.4514256	365.0570787	440.5395678	434.3048319	652.786342	290.8836783	403.579765	446.39214	442.4042482	480.9684548	471.7966677	426.7199093	554.8876514	387.8009637	499.4283868	289.1680564	477.897022	395.1072159	541.0193115	434.9039966	283.7571599	349.0589279	358.5510933	410.8986055	372.1183301	407.927322	401.7627274	426.9100582	387.8271387	291.1605314	302.4747532	305.0567174	377.9081157	326.8326243	386.4898841	339.8311311	303.0024579	375.5346264	355.3862734	390.0699653	377.9507271	356.5519491	406.9796392	370.5812731	327.5624698	356.2645532	324.7735968	365.1673014	409.2730194	386.9181125
Rv3605c	63.50515088	103.4144763	110.624411	110.2983706	120.5476867	124.1093729	60.17088053	52.43749275	26.66997205	29.04959644	100.038764	63.88498878	58.18447122	80.42682073	73.55339065	58.04175483	87.25109476	79.131254	112.8781427	63.52413554	110.6821566	57.44306472	0	20.62771084	36.19046281	9.638935212	0	38.41320155	31.21265259	21.04374177	71.65584845	66.84107129	100.658811	92.36207689	120.1282897	111.9092653	112.8963865	109.5918469	107.9330245	94.46047775	62.13982846	63.70302039	44.63481682	69.5073907	75.07357462	65.70427574	71.83335638	103.0922103	85.72000289	113.9616173	125.7594056	131.0800372	100.0133763	69.24355968	88.08402551	61.63746594	50.598785	47.43410307	60.66147942	74.57360268
Rv3606c	94.97673008	160.2301404	162.604556	161.2334985	228.046397	204.491091	118.4007649	38.84258722	62.22993479	63.90911217	107.7340535	246.4135281	182.865481	144.7682773	128.7184336	92.79931731	127.9219238	158.262508	172.7328351	144.3730353	140.8681993	105.0387469	58.40922646	94.88746985	115.809481	86.75041691	83.11252556	186.5784075	145.6590454	112.2332894	86.94242945	107.1579079	116.0882638	128.8563609	157.004881	150.7165106	161.129115	135.4953744	113.4211443	103.3508757	101.4341317	121.1254613	94.22905773	125.7048555	139.0251382	103.4034503	95.84563982	110.28469	137.8294271	144.5553401	178.2152005	157.438523	129.9342755	107.1992887	103.0268513	91.63436604	94.72563239	82.06852753	118.2514915	165.3588581
Rv3607c	68.00109077	132.8190744	128.9507442	128.2539193	131.7325236	159.4773289	114.5187726	58.26388083	30.22596833	81.33887003	61.56231628	63.88498878	33.24826927	80.42682073	156.3009551	88.07498843	110.5412276	146.570291	130.1188965	127.0482711	91.67612974	129.6572032	65.71037977	28.87879517	50.66664793	134.945093	10.3890657	16.46280066	156.0632629	21.04374177	96.01883692	83.81658146	87.06619787	96.41699733	103.3662028	106.9455479	129.8573459	121.5473211	103.0546957	122.2429712	105.0894158	98.69482032	88.27774882	131.6203781	148.7568979	64.62715646	85.46744952	86.30975742	106.3032255	120.4627834	127.3285961	128.9428627	101.6756485	101.3007632	119.1493738	96.15444687	80.60504122	97.87989522	144.3589637	176.1666266
Rv3608c	132.0682341	252.6801903	212.2522585	197.1445959	236.7457146	210.2785748	146.545209	79.62730381	81.7879143	133.6281436	130.8199221	155.1492585	132.9930771	144.7682773	128.7184336	119.1205782	154.340582	179.3502564	215.0214765	168.2977098	140.8681993	105.0387469	94.914993	78.38530118	86.85711074	144.5840282	135.057854	131.7024053	218.4885681	112.2332894	100.3181878	70.55446414	124.5377261	133.8123748	137.4491129	167.4126509	151.0585453	117.562163	120.1288464	134.4672683	147.1251821	128.3032664	140.8476442	241.0575465	202.9767017	89.67017959	110.9041904	113.553999	126.6259009	153.3510354	153.7806636	169.9053744	140.4619994	132.3321363	127.8004834	133.1369264	125.3202466	140.0435424	332.4863366	232.3670229
Rv3609c	181.8045691	264.1429997	309.2152212	255.0420795	388.9837726	415.4127196	246.5065106	178.6759012	179.5778118	110.3884665	238.5539756	292.045663	216.1137502	193.0243697	266.6310411	173.1129083	230.1204173	282.9098923	292.7675172	293.6960033	292.9164145	287.2153236	167.9265261	280.5368674	217.1427769	125.3061578	238.948511	192.0660077	499.4024414	217.4519983	159.0759836	156.4929844	153.9271599	158.5924442	182.7067476	166.5101569	188.1606441	196.7671797	175.6198364	165.583661	171.7983493	172.2673227	195.4013092	251.409711	273.8795222	196.3049878	183.9585104	172.6195148	173.5243827	179.7381212	168.5758878	183.7970087	171.2140347	165.671628	178.5274446	161.0792443	185.921117	271.8049398	369.3439443	339.3639311
Rv3610c	1428.303902	1832.305167	1838.631025	1680.859222	2691.196037	2888.597424	2915.376212	2307.249681	2240.277653	3700.918587	4824.946538	5192.936945	5585.709237	5565.535994	5332.620822	1401.100965	1778.045218	1905.413784	1928.687344	2159.820609	2427.181435	2763.832028	2836.49806	2438.195421	4350.09363	5185.747144	5371.146965	6096.723846	6013.637732	5043.483444	1615.122824	1673.679206	1725.527137	1749.923447	1630.392323	1784.682034	1842.914252	2051.858261	2151.952787	1880.319157	1760.93308	1575.528223	1793.327751	2085.221721	1993.620482	1640.721935	1715.860796	1695.463644	1735.243827	1686.861389	1708.175884	1891.755646	2027.972062	1923.175756	1857.235948	1682.70282	1756.248526	1777.649482	2461.781051	2369.062856
